hostname,software
audio.freediverse.com,peertube
dommyrossdigital.wordpress.com,wordpress
stream.gigaohm.bio,peertube
probandoactivitypubdonaciones.sutty.nl,sutty-distributed-press
video.coyp.us,peertube
social.rappappa.com,mastodon
fedi.mpthl.ee,firefish
wish.fedicity.net,mastodon
europa.cyberveins.eu,lemmy
dnk.todon.de,mastodon
shrike.club,mastodon
toots.deds.nl,mastodon
social.skbo.net,mastodon
smallweb.space,writefreely
mastodon.jatlarge.com,mastodon
blog.gijsgobje.nl,writefreely
mk.r0.at,misskey
fedi.aniskov.com,mastodon
social.lyrenhex.com,mastodon
paperbay.org,mastodon
yoitsu.moe,mastodon
mk.depra.net,misskey
santadog.social,akkoma
social.owotel.com,akkoma
redpawcollective.co,mastodon
furry.horse,mastodon
fed.uninsane.org,pleroma
colorid.es,hometown
mi.hk-shuttle.net,misskey
firefish.gameguard.moe,firefish
bolha.photos,pixelfed
selea.se,gotosocial
pennytucker.social,mastodon
mstdn.gergely-szabo.com,mastodon
17toot.xyz,mastodon
mastodon.qrpth.eu,mastodon
blog.librescrum.org,plume
misskey.kurenai.life,misskey
social.wittemeier.de,friendica
stpauli.social,mastodon
town.voyager.blue,mastodon
fashionsocial.host,mastodon
iddqd.social,pleroma
abyssdomain.expert,mastodon
campdarling.com,mastodon
pkutalk.com,mastodon
social.quodverum.com,mastodon
sleepygremlin.online,mastodon
v2rm.com,pleroma
metreee.com,misskey
cc2.at,mastodon
media.privacyinternational.org,peertube
ibis.wiki,ibis
mastodon.self-hosted.site,mastodon
friendica.youhavewrites.social,friendica
varwest.fr,mastodon
write.schuerz.at,writefreely
scl.zmb.cm,mastodon
franken.social,mastodon
